ObjectID,X,Y,ID,pHH20,pHKCl,Гумус %,P мг/кг,K мг/кг,Mn мг/кг,Co мг/кг,Cu мг/кг,Zn мг/кг,Mo мг/кг,B мг/кг,Ca ммоль-экв/100г,Mg ммоль-экв/100г,Al ммоль-экв/100г,N_NH4  мг/кг  ,N_NO3  мг/кг  ,soil_name,texture,parentrock,relief,code,area,Z,NDVI 13062019
48,38.802603,53.593432,48,5.3,6.5,5.8,53.2,78.3,2.3,0,0.05,0.11,0,1.4,16.7,2.1,0,2.8,19.7,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,386494,0.923688892461305,0.569566548
49,38.808322,53.589831,49,4.7,5.7,5.1,777.4,131.4,3.5,0.01,0.06,0.18,0,1,14.4,3,0,2.1,40.2,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,78296,1.08516536604699,0.539534867
50,38.789155,53.610503,50,8.1,7,6.1,136.4,141.8,6.1,0.01,0.1,0.14,0.02,1.9,19,1.4,0,2.9,23.7,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,276812,1.27599464383894,0.424386382
51,38.786339,53.613695,51,6.6,5.6,6,94.5,116.2,4.2,0.01,0.08,0.16,0.07,2.1,16.4,2.6,0,57,27.2,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,78954,1.29941923668391,0.486468196
52,38.781472,53.612458,52,6.8,5.7,5.1,60.2,126.7,4.1,0.01,0.06,0.13,0.02,1.9,8.7,1.2,0,6.7,24.2,чернозем выщелоченный среднемощный среднесмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,покатые склоны,14,78954,0.926948116883178,0.674188197
53,38.773343,53.61073,53,6.3,5.5,11.5,219.4,355.5,7.2,0.02,0.1,0.64,0,2.2,15.9,2.9,0,4.6,41.1,ГЛФ,,,,98,359029,1.89796578438419,0.777310908
54,38.7671,53.610867,54,6.3,5.2,6.8,161,181.1,4.5,0.01,0.07,0.18,0.03,2.5,16.5,2.4,0,5.4,33.4,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,20359,1.33312142732428,0.619446754
55,38.760406,53.609179,55,6.2,5.1,7.9,278.5,333.5,5.8,0.02,0.11,0.25,0.02,2.4,15.3,2.4,0,4.7,40.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,319444,1.55350420668774,0.611864388
56,38.757776,53.606868,56,5.9,4.9,8.1,105.5,204.5,5.8,0.02,0.07,0.19,0,2.6,14.5,2.1,0,5.6,34.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,319444,1.35198969042114,0.633682847
57,38.755277,53.603285,57,6,5.1,8.5,223.4,606.2,5.9,0.02,0.09,0.36,0,2.6,14.2,2.5,0,5,49.5,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,878689,1.61349065280035,0.725186646
58,38.752403,53.598028,58,6.2,5.2,8.6,340,466.6,6.1,0.02,0.07,0.3,0.02,3.2,15,2.3,0,4.3,31.9,чернозем оподзоленный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,"водораздельные участки слабопологие  и пологие склоны, террасы",3,1845872,1.5550810668486,0.665544331
59,38.757045,53.598421,59,5.8,4.8,7.8,100.7,218.8,8.6,0.03,0.09,0.33,0.02,2.1,15.8,2.5,0,5.5,31.2,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,878689,1.66345816013649,0.757481158
60,38.744862,53.597828,60,5.9,5.1,7.7,86.9,322.7,5.6,0,0.06,0.21,0,1.9,16.1,2.5,0,3.4,142.7,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,136009,1.32438120747292,0.680654526
61,38.795121,53.58067,61,6.2,5.3,7.7,97.4,435.7,4.3,0,0.07,0.26,0,1.8,15.5,2.6,0,2.8,96.4,овражно-балочный комплекс,средне-тяжело-суглинистый,"лессовидные суглинки, делювиальные отложения",склоны и днища балок и оврагов,23,51134,1.33563020652287,0.81198591
62,38.784011,53.618137,62,7.1,6.3,8.9,87.5,404.6,5.8,0,0.08,0.26,0,2.8,17.2,2.4,0,2.7,167.6,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,237386,1.55142758134056,0.704023004
63,38.777106,53.617702,63,6.1,5.2,7.9,69.7,443.9,4.7,0,0.06,0.27,0,2.1,15.1,2.6,0,2.6,105.7,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,237386,1.35820005508963,0.708090067
64,38.769631,53.617328,64,6,5.1,8.3,57,260.3,3.8,0,0.07,0.24,0,2.1,16.8,2.8,0,3.3,136.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,466667,1.35924135977718,0.70766592
