ObjectID,X,Y,ID,pHH20,pHKCl,Гумус %,P мг/кг,K мг/кг,Mn мг/кг,Co мг/кг,Cu мг/кг,Zn мг/кг,Mo мг/кг,B мг/кг,Ca ммоль-экв/100г,Mg ммоль-экв/100г,Al ммоль-экв/100г,N_NH4  мг/кг  ,N_NO3  мг/кг  ,soil_name,texture,parentrock,relief,code,area,Z,NDVI 13062019
85,38.829572,53.612626,85,7.9,7,8.1,34.4,206.7,5.9,0.02,0.14,0.25,0,2.6,20.7,0.8,0,5.9,179.6,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.43932528912727,0.506035864
86,38.836538,53.609908,86,6.2,5.3,8.3,109.6,162.8,2.8,0.01,0.16,0.19,0,2.7,15.9,1.9,0,6,116,дерново-карбонатная малокаменистая,среднесуглинистый,элювий известняков,пологие и покатые склоны,1,139580,1.38120354412182,0.671861231
87,38.863995,53.622543,87,6.1,5.3,7.7,82.9,233.4,3.4,0,0.48,0.28,0,2.6,15.6,1.9,0,4.5,171.5,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,2547516,1.81045731037467,0.761225045
88,38.878869,53.621268,88,5.9,5,7,51.4,105.7,4.3,0.01,0.15,0.28,0,2.3,15.1,1.6,0,5.2,113.3,чернозем выщелоченный среднемощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,9,2547516,1.46866840452388,0.617873669
89,38.888078,53.618865,89,5.9,5,6.2,74.9,139.4,3.3,0.01,0.26,0.24,0,2.4,14.7,1.7,0,4.7,142.7,чернозем оподзоленный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,4,19080,1.52035849320787,0.67408812
90,38.880441,53.613816,90,5.8,6.1,7.7,2035.2,299.4,4.5,0.01,0.08,0.2,0,2.4,18.4,2.8,0,3.2,103.7,чернозем выщелоченный маломощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,вершины водоразделов,7,18901,1.4396378801767,0.642605066
91,38.872024,53.610494,91,5.4,5.9,6.9,209.4,357,4.6,0.01,0.06,0.27,0,1.1,15.5,2.9,0,3.2,89.3,влажно-луговая,тяжелосуглинистый,лессовидный суглинок,"плоходренируемые лощины, блюдцеобразные понижения",18,32120,1.24279416222018,0.698050141
92,38.864144,53.615304,92,6,6.4,7.8,136.4,200.7,8.5,0.01,0.1,0.3,0,2.6,18.3,2.5,0,3.8,76.4,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,22423,1.76597318344494,0.797484815
93,38.854488,53.611587,93,5,6.3,7,70.1,134.7,4.6,0.01,0.06,0.18,0,1.5,17.4,3,0,6.8,24.5,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.25407610095953,0.839852571
94,38.848359,53.606469,94,5.3,6.3,7,102.4,190.2,3.9,0.02,0.08,0.16,0,1.1,17.8,3,0,4.8,11.6,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.19637708601042,0.827383459
95,38.860326,53.608018,95,5.1,6,6.5,32.6,145.8,4.7,0.01,0.09,0.23,0,1.4,16.9,2.7,0,6,35.5,чернозем выщелоченный маломощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,вершины водоразделов,7,75548,1.35594201516697,0.813374817
96,38.857705,53.604196,96,5.2,6,6.5,44,149.4,4.1,0.02,0.07,0.21,0,1.5,16.7,2.8,0,4.6,40.1,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.27158235304792,0.708665609
97,38.84937,53.601161,97,5.2,6,6.6,118.2,159.3,4,0.01,0.07,0.25,0,1.7,17,3.1,0,5,34,чернозем выщелоченный маломощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,вершины водоразделов,7,709380,1.35797861050457,0.774701655
98,38.842719,53.597836,98,5.8,6.3,7,259,253.5,4.1,0.01,0.09,0.29,0,2.4,17.3,2.7,0,3.5,48,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,508126,1.51300691243049,0.438882411
99,38.842505,53.592344,99,5.7,6.4,6,76.1,207.9,2.6,0.01,0.07,0.13,0,1.7,16.4,2.4,0,4.4,45.1,чернозем выщелоченный среднемощный малогумусный слабосмытый,тяжелосуглинистый,лессовидный карбонатный суглинок,пологие склоны,10,31774,1.07957576142471,0.243243247
100,38.846049,53.586853,100,5.4,6.2,6.6,62.1,150.2,3.5,0.01,0.09,0.25,0,1.4,16.2,2.9,0,4.8,32.2,чернозем выщелоченный среднемощный малогумусный слабосмытый,среднесуглинистый,лессовидный карбонатный суглинок,пологие склоны,11,259488,1.31537202683988,0.174689025
101,38.849698,53.582815,101,5.6,6.2,6.1,101.2,178.4,2.7,0.01,0.09,0.44,0,2.1,16.3,2.9,0,4.4,55.3,чернозем выщелоченный среднемощный малогумусный слабосмытый,среднесуглинистый,лессовидный карбонатный суглинок,пологие склоны,11,259488,1.48244062471296,0.400419295
102,38.853542,53.588881,102,5.5,6.3,6.3,55.6,130.1,3.1,0.01,0.06,0.14,0,2.2,17.8,2.6,0,5.2,24.7,чернозем выщелоченный маломощный среднегумусный,тяжелосуглинистый,лессовидный карбонатный суглинок,вершины водоразделов,7,709380,1.17645729891061,0.233226836
103,38.855508,53.598131,103,5.6,6.4,6,58.1,203.4,3.6,0.01,0.09,0.17,0,1.1,16.5,2.5,0,3.7,18.4,лугово-черноземная,тяжелосуглинистый,лессовидный суглинок,лощины стока,17,36209,1.16493518224344,0.15425849
104,38.864094,53.604424,104,5,5.7,5.3,93.7,238.1,8.9,0.02,0.06,0.27,0,1.1,12.4,2.2,0,3.9,102.4,чернозем выщелоченный среднемощный среднегумусный,среднесуглинистый,лессовидный карбонатный суглинок,водораздельные участки слабопологие склоны,8,1742842,1.27650840505203,0.681674778
